loan_amnt,term,int_rate,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_rec_prncp,total_rec_int,last_pymnt_amnt,repay_fail,credit_age_yrs
2500,36 months,13.98,4 years,RENT,20004,Not Verified,other,19.86,0,5,7,0,981,0.213,10,2500,575.29,90.85,0,4.931318681
5000,36 months,15.95,4 years,RENT,59000,Not Verified,debt_consolidation,19.57,0,1,7,0,18773,0.999,15,1909.02,873.81,175.67,1,16.22252747
7000,36 months,9.91,10+ years,MORTGAGE,53796,Not Verified,other,10.8,3,3,7,0,3269,0.472,20,7000,1082.39,1550.27,0,13.54945055
2000,36 months,5.42,10+ years,RENT,30000,Not Verified,debt_consolidation,3.6,0,0,7,0,0,0,15,2000,161.66,53.12,0,36.79120879
8000,36 months,6.03,n/a,MORTGAGE,77736,Verified,other,6.07,0,0,12,0,4182,0.136,49,8000,724.97,1423.66,0,15.3021978
6250,36 months,17.27,4 years,MORTGAGE,28000,Verified,other,13.76,0,0,2,1,0,0.0846,15,4764.18,1713.09,223.68,1,12.12637363
8000,36 months,13.79,5 years,RENT,75000,Source Verified,credit_card,12.78,0,1,8,0,9287,0.619,37,7999.97,1813.7,276.65,0,18.81318681
16000,36 months,6.54,4 years,MORTGAGE,1.00E+05,Verified,debt_consolidation,6.05,0,0,5,0,11006,0.651,36,3325,346.07,119.69,0,20.98901099
7000,36 months,16.63,7 years,RENT,30996,Verified,debt_consolidation,8.32,2,1,3,0,6082,0.965,11,7000,947.01,5470.42,0,7.607142857
13000,36 months,11.83,3 years,MORTGAGE,107004,Not Verified,debt_consolidation,13.2,0,1,14,0,38433,0.565,31,13000,2506.63,462.57,0,9.03021978
10500,36 months,12.53,3 years,RENT,51504,Not Verified,credit_card,23.49,0,1,12,0,18709,0.639,19,10499.99,2150.43,361.85,0,7.774725275
8000,36 months,11.14,4 years,MORTGAGE,55000,Not Verified,credit_card,18.89,1,1,14,0,36269,0.416,27,8000,1447.75,264.34,0,15.47252747
14400,36 months,8.9,4 years,RENT,59000,Not Verified,credit_card,10.72,0,0,5,0,20380,0.639,10,14400,937.03,1305.23,0,5.684065934
6000,36 months,15.99,1 year,RENT,45000,Not Verified,small_business,3.84,0,0,3,0,6195,0.86,3,6000,1595.33,235.93,0,3.593406593
4200,36 months,13.06,10+ years,MORTGAGE,78000,Not Verified,major_purchase,13.82,5,1,14,0,23653,0.852,28,4200,898.87,146.81,0,31.26923077
3600,36 months,14.17,4 years,RENT,30000,Verified,other,0.68,1,2,4,0,278,0.056,9,3600,84.31,3561.66,0,5.178571429
5000,36 months,6,10+ years,RENT,34868.4,Source Verified,wedding,4.37,1,3,2,0,2295,0.389,7,5000,936.96,2973.62,0,8.695054945
2800,36 months,7.49,4 years,RENT,48000,Not Verified,other,25.45,0,3,6,0,1513,0.226,20,2800,335.02,105.94,0,8.692307692
6500,36 months,15.65,4 years,RENT,42500,Not Verified,medical,13.16,0,1,6,0,1542,0.907,8,1191.48,623.57,227.41,1,11.87362637
9575,36 months,9.63,2 years,OWN,56996,Source Verified,car,10.72,0,0,11,0,8305,0.269,15,9575,1420.44,2407.57,0,3.931318681
17325,36 months,11.99,1 year,MORTGAGE,114000,Source Verified,credit_card,12.89,0,0,7,0,7914,0.659,13,17325,3387.75,576.92,0,13.87637363
12000,36 months,7.29,10+ years,RENT,68400,Source Verified,debt_consolidation,17.05,0,0,19,0,30181,0.523,44,12000,1360.83,217.94,0,8.777472527
10000,36 months,6.92,10+ years,RENT,43337,Not Verified,small_business,24.89,0,0,5,0,3888,0.362,8,10000,1103.43,315.04,0,9.703296703
18000,36 months,6.62,2 years,MORTGAGE,78000,Not Verified,debt_consolidation,6.35,0,0,8,0,16136,0.25,13,18000,1895.96,574.46,0,19.81868132
1450,36 months,7.51,n/a,RENT,10000,Source Verified,other,22.2,0,0,9,0,709,0.032,10,1450,105.99,970.62,0,6.271978022
12500,36 months,18.62,2 years,RENT,43560,Source Verified,debt_consolidation,5.43,0,0,4,0,8735,0.856,8,12500,3128.43,1789.83,0,3.087912088
12000,36 months,9.88,6 years,MORTGAGE,80000,Not Verified,debt_consolidation,15.03,0,0,13,0,19330,0.23,23,12000,1224.1,19.46,0,21.48626374
10000,36 months,14.11,1 year,RENT,45000,Not Verified,debt_consolidation,7.95,0,0,7,0,11816,0.476,10,9999.99,2322.4,351.54,0,6.436813187
25000,60 months,12.61,< 1 year,RENT,65000,Verified,debt_consolidation,24.57,0,3,17,0,5277,0.207,28,15050,5316.12,339.15,0,8.027472527
7000,36 months,11.49,2 years,RENT,72000,Not Verified,credit_card,18.3,0,3,17,0,15260,0.615,37,7000,1308.75,245.14,0,12.04120879
5000,36 months,5.42,2 years,MORTGAGE,1.00E+05,Not Verified,debt_consolidation,5.9,0,0,11,0,5207,0.117,26,5000,410.11,1197.82,0,28.01373626
12325,36 months,18.36,10+ years,MORTGAGE,54000,Not Verified,debt_consolidation,14.82,2,3,22,0,8079,0.454,48,12325,3909.67,216.09,0,16.22527473
8000,36 months,13.61,8 years,MORTGAGE,58000,Source Verified,credit_card,22.49,1,3,17,0,6637,0.24,25,8000,1560.66,50.32,0,12.70604396
8500,36 months,10.62,2 years,RENT,45000,Not Verified,debt_consolidation,2.01,0,1,12,0,7011,0.48,35,8500,885.11,5795.2,0,11.53571429
10000,60 months,10.75,5 years,MORTGAGE,75000,Not Verified,major_purchase,7.97,0,3,10,0,11471,0.166,39,9550,2102.61,5463.99,0,18.98351648
19250,60 months,14.79,8 years,MORTGAGE,65004,Verified,debt_consolidation,8.79,0,1,6,0,17606,0.707,16,19250,7465.93,56.73,0,11.62087912
8000,36 months,7.66,< 1 year,RENT,19200,Source Verified,major_purchase,1.25,0,0,3,0,351,0.121,4,8000,936.9,1991.79,0,11.28571429
30000,60 months,11.71,3 years,MORTGAGE,82000,Source Verified,other,0.22,0,0,6,0,518,0.025,14,5940.22,3989.63,662.95,1,17.56043956
3500,36 months,5.42,5 years,RENT,60000,Not Verified,small_business,14.1,0,0,8,0,809,0.069,16,3500,300.49,114.82,0,14.88461538
13800,36 months,7.66,2 years,RENT,105000,Source Verified,debt_consolidation,21.15,0,2,10,0,8783,0.384,20,13800,1593.67,3809.25,0,10.95879121
15000,36 months,17.99,2 years,MORTGAGE,63830,Verified,debt_consolidation,21.04,0,3,13,0,5613,0.585,25,15000,3087.37,7723.26,0,13.87637363
1275,36 months,15.23,2 years,OWN,20400,Verified,debt_consolidation,24.59,0,2,7,0,6032,0.574,7,1275,321.24,52.73,0,13.21153846
1800,36 months,5.42,n/a,OWN,29184,Not Verified,small_business,23.68,0,2,7,0,30037,0.235,24,1800,147.21,49.34,0,36.71153846
11200,60 months,22.06,7 years,RENT,75000,Verified,other,22.9,0,0,28,0,12249,0.528,57,11200,7115.3,3139.02,0,9.78021978
13000,36 months,12.53,10+ years,MORTGAGE,264000,Verified,credit_card,10.06,0,1,15,0,229908,0.772,34,13000,2662.18,448.3,0,23.16208791
10000,36 months,5.42,10+ years,RENT,28000,Not Verified,debt_consolidation,12.69,0,0,13,0,13349,0.388,35,10000,857.53,308.87,0,23.91208791
2000,36 months,8.49,< 1 year,RENT,22800,Source Verified,car,3.16,0,3,7,0,1139,0.175,18,2000,60.18,1010.28,0,4.681318681
10000,36 months,7.29,5 years,RENT,99000,Not Verified,wedding,2.25,0,0,4,0,1540,0.453,11,10000,1163.54,333.65,0,27.34065934
4000,36 months,10.99,10+ years,MORTGAGE,40000,Not Verified,other,12.27,0,0,8,0,12341,0.198,15,4000,696.06,788.64,0,22.90934066
1375,36 months,6.91,< 1 year,RENT,37500,Not Verified,credit_card,12.03,0,0,5,0,6768,0.342,6,1375,57.73,1136.31,0,6.269230769
15000,36 months,15.95,7 years,MORTGAGE,54000,Verified,debt_consolidation,9.13,0,4,11,0,14440,0.862,19,4090.78,2230.94,550.97,1,7.445054945
6000,36 months,7.29,2 years,RENT,65004,Source Verified,debt_consolidation,12.55,1,0,13,0,1694,0.12,30,6000,449.78,362.73,0,7.53021978
3500,36 months,14.84,10+ years,MORTGAGE,96000,Verified,medical,20.4,1,1,7,0,13537,0.756,31,1084.95,482.07,121.06,1,12.37637363
25000,36 months,13.75,5 years,RENT,75000,Not Verified,home_improvement,19.78,0,2,8,0,12308,0.436,12,5323.38,2338.5,851.41,1,6.692307692
14000,60 months,20.25,5 years,RENT,42744,Not Verified,credit_card,20.58,0,1,19,0,17735,0.493,53,6423.87,6578.88,372.87,1,11.03571429
25000,36 months,12.69,6 years,RENT,92000,Verified,debt_consolidation,19.06,0,0,13,0,27367,0.704,22,25000,5190.28,862.05,0,19.9010989
18000,36 months,12.18,2 years,RENT,101500,Not Verified,debt_consolidation,9.28,0,0,6,1,10433,0.458,27,18000,2390.85,11412.43,0,14.21703297
11800,36 months,13.99,5 years,RENT,94000,Verified,debt_consolidation,4.6,0,1,10,0,2935,0.427,41,11800,2716.58,437.49,0,21.32142857
3000,36 months,11.36,10+ years,RENT,108000,Verified,other,18.04,0,0,24,0,24434,0.566,61,3000,553.74,202.95,0,16.21703297
5200,60 months,15.23,10+ years,MORTGAGE,72000,Verified,car,10.83,0,1,7,0,27997,0.838,12,548.55,562.41,124.34,1,13.45879121
21000,60 months,15.23,7 years,MORTGAGE,90000,Verified,debt_consolidation,14.97,0,1,10,0,11071,0.517,28,21000,8745.38,3386.75,0,10.86813187
8000,36 months,14.26,< 1 year,RENT,88500,Not Verified,other,11.61,0,0,13,0,15514,0.772,38,4003.04,1473.71,274.45,1,7.192307692
1800,36 months,10.71,10+ years,MORTGAGE,123000,Not Verified,credit_card,11.55,0,6,13,0,15853,0.634,36,1800,76.53,1642.16,0,13.62912088
6000,36 months,9.32,3 years,MORTGAGE,52000,Source Verified,other,12.48,0,0,12,0,9608,0.268,24,6000,442.01,4425.63,0,9.362637363
12000,36 months,7.88,2 years,RENT,110000,Not Verified,debt_consolidation,7.04,0,0,7,0,10667,0.51,16,12000,1514,390.96,0,9.612637363
5000,60 months,18.3,4 years,RENT,72000,Source Verified,home_improvement,2.33,0,0,6,0,6610,0.306,8,5000,991.42,4332.85,0,4.013736264
20000,36 months,15.65,1 year,RENT,60000,Not Verified,small_business,20.74,0,3,5,0,24030,0.829,11,19999.99,5191.36,725.31,0,18.48351648
20000,36 months,13.72,10+ years,MORTGAGE,79000,Verified,debt_consolidation,14.16,0,1,14,0,7852,0.31,34,20000,2838.59,10632.44,0,12.46153846
10000,36 months,8.59,< 1 year,OWN,150000,Not Verified,debt_consolidation,4.14,0,2,19,0,82445,0.167,32,10000,865.47,6142.09,0,16.97527473
4000,36 months,5.42,1 year,MORTGAGE,90000,Not Verified,home_improvement,6.15,0,0,6,0,1165,0.216,25,4000,131.49,3289.49,0,12.70604396
13000,36 months,8.9,10+ years,MORTGAGE,60000,Source Verified,debt_consolidation,18.53,0,2,18,0,10988,0.235,30,13000,1752.93,3610.3,0,20.06868132
14400,36 months,10.37,9 years,RENT,81380,Verified,debt_consolidation,9.36,0,0,10,0,19977,0.394,17,14400,1694.49,363.32,0,13.38186813
25000,36 months,10.75,3 years,MORTGAGE,1.00E+05,Verified,other,8.7,0,1,15,0,22638,0.231,33,16000,808.68,14204.86,0,16.63736264
20000,36 months,17.14,2 years,RENT,75000,Verified,debt_consolidation,18.03,0,0,8,0,22402,0.585,12,20000,4590.26,10324.48,0,7.692307692
10000,36 months,12.42,1 year,RENT,42000,Source Verified,debt_consolidation,23.71,0,0,7,0,9784,0.894,19,10000,1638.08,4963.14,0,9.115384615
12000,36 months,7.51,< 1 year,RENT,83000,Source Verified,debt_consolidation,8.36,0,1,9,0,18692,0.827,36,2435.23,547.09,373.33,1,10.4532967
5000,60 months,16.45,6 years,RENT,32000,Source Verified,debt_consolidation,16.88,1,1,9,0,2919,0.531,16,5000,203.56,4959.31,0,7.85989011
5000,60 months,7.29,8 years,MORTGAGE,61200,Not Verified,car,4.92,0,0,12,0,8486,0.108,28,5000,981.39,99.08,0,20.74175824
25000,60 months,12.98,3 years,MORTGAGE,85000,Verified,medical,17,0,0,10,0,91266,0.245,18,25000,9114.04,567.82,0,10.70604396
35000,60 months,18.39,10+ years,MORTGAGE,53000,Verified,small_business,10.19,0,0,9,0,36328,0.934,20,15598.65,14870.43,496.22,1,12.12637363
11400,36 months,13.79,10+ years,MORTGAGE,63000,Verified,credit_card,20.11,0,1,11,0,18212,0.564,37,3399.99,762.98,457.8,0,11.03846154
12600,60 months,10.65,10+ years,MORTGAGE,55172,Not Verified,debt_consolidation,19.36,0,0,22,0,23020,0.305,59,12600,438.81,17.03,0,15.97252747
12800,36 months,12.42,4 years,RENT,38000,Not Verified,credit_card,22.58,0,2,7,0,7829,0.932,14,8357.55,2318.62,427.72,1,7.107142857
7000,60 months,15.57,4 years,MORTGAGE,50000,Not Verified,debt_consolidation,20.28,0,0,8,0,8067,0.849,13,6999.99,1808.75,5104.99,0,4.516483516
20000,60 months,11.99,10+ years,MORTGAGE,39000,Verified,home_improvement,15.35,0,0,5,0,0,0,11,19095.74,6657.08,444.79,0,10.28571429
3500,60 months,17.99,10+ years,MORTGAGE,116004,Not Verified,other,19.2,0,1,17,0,31157,0.946,43,2674.41,1756.71,88.86,1,21.48626374
12000,36 months,16.95,10+ years,MORTGAGE,90000,Verified,debt_consolidation,16.53,0,3,7,0,15534,0.873,10,12000,3390.72,430.38,0,3.601648352
20000,60 months,18.3,10+ years,MORTGAGE,74276.8,Not Verified,credit_card,3.55,0,0,3,1,8542,0.678,17,20000,7179.14,13401.39,0,15.22252747
10000,60 months,13.23,< 1 year,RENT,42840,Source Verified,other,11.09,0,0,5,0,18951,0.907,17,10000,743.87,9374.74,0,16.80494505
12000,36 months,14.59,8 years,MORTGAGE,124000,Not Verified,credit_card,15.36,2,0,16,0,30232,0.673,29,12000,2889.26,423.81,0,20.90934066
6500,36 months,7.74,2 years,RENT,18000,Not Verified,debt_consolidation,18,0,0,5,0,2816,0.132,12,6500,672.54,2913.62,0,11.29120879
19000,36 months,11.99,4 years,MORTGAGE,105000,Not Verified,debt_consolidation,9.99,0,0,7,0,17225,0.738,34,19000,3715.26,633.13,0,22.57417582
15000,36 months,11.89,2 years,RENT,70000,Verified,debt_consolidation,6.19,0,0,7,0,16476,0.431,18,14999.99,2774.47,3883.2,0,7.445054945
2000,36 months,7.37,< 1 year,OWN,98000,Not Verified,other,0,0,0,9,0,5235,0.051,22,2000,235.33,68.32,0,17.72802198
5000,36 months,11.86,2 years,RENT,67596,Not Verified,other,9.55,0,0,4,0,5257,0.449,6,5000,967.32,189.74,0,4.096153846
22000,60 months,17.27,10+ years,RENT,84000,Verified,debt_consolidation,13.8,0,1,11,0,20579,0.583,36,18837.22,10811.09,549.96,0,15.46978022
18000,36 months,13.48,6 years,RENT,58000,Verified,educational,8.69,0,2,6,0,3074,0.277,10,18000,2892.94,10532.77,0,6.604395604
25000,36 months,13.06,6 years,MORTGAGE,168000,Verified,other,8.53,0,2,9,0,546,0.025,20,24999.99,5351.26,884.81,0,22.32692308
12000,60 months,12.69,3 years,OWN,60000,Source Verified,debt_consolidation,17.62,0,0,7,0,11082,0.693,12,12000,376.12,11839.55,0,14.2967033
4000,36 months,17.19,n/a,OWN,37200,Not Verified,home_improvement,9.35,0,0,6,0,4598,0.575,14,172.26,113.12,142.99,1,12.88186813
5000,60 months,11.12,10+ years,MORTGAGE,36000,Source Verified,debt_consolidation,17.6,0,2,23,0,3711,0.057,42,5000,519.47,106.37,0,23.66758242
4800,36 months,6.39,4 years,RENT,56048,Not Verified,major_purchase,16.55,0,2,10,0,5182,0.618,32,4800,50.9,4704.81,0,11.12362637
4000,36 months,14.17,1 year,RENT,30000,Not Verified,debt_consolidation,23.48,0,1,6,0,3221,0.732,9,4000,933.4,150.53,0,13.04395604
24000,36 months,16.45,1 year,RENT,60000,Not Verified,debt_consolidation,21.78,0,0,8,0,35819,0.958,8,24000,6567.45,888.17,0,8.28021978
14500,36 months,13.98,< 1 year,RENT,45600,Not Verified,debt_consolidation,24.68,0,0,13,0,14528,0.541,17,14500,3337.14,527.22,0,22.07417582
3500,36 months,7.29,1 year,RENT,74400,Not Verified,car,13.65,0,1,6,0,1117,0.223,12,3500,21.55,3521.68,0,6.93956044
5000,36 months,13.99,10+ years,RENT,65000,Verified,debt_consolidation,22.06,0,2,4,0,0,0,12,5000,428.73,4235.88,0,7.607142857
6000,36 months,6.17,10+ years,MORTGAGE,81000,Verified,other,8.07,0,0,16,0,20839,0.391,45,6000,588.02,185.97,0,18.64835165
6000,36 months,5.42,10+ years,RENT,55000,Not Verified,debt_consolidation,16.36,0,0,5,0,4516,0.186,15,6000,514.85,187.89,0,12.46153846
9600,60 months,10.99,7 years,MORTGAGE,92000,Verified,car,22.93,0,1,12,0,4409,0.204,30,9600,2669.54,3518.1,0,12.62362637
12000,60 months,14.79,< 1 year,RENT,65000,Source Verified,wedding,24.74,0,2,11,0,33049,0.682,24,12000,4678.28,880.2,0,12.79395604
9000,36 months,10.99,5 years,RENT,51000,Verified,debt_consolidation,19.93,0,0,13,0,11209,0.719,19,9000,670.98,83.05,0,6.601648352
7500,60 months,11.12,5 years,MORTGAGE,57000,Not Verified,home_improvement,4.65,0,1,4,0,1261,0.42,12,977.15,652.65,163.52,1,9.368131868
8000,36 months,6.99,10+ years,MORTGAGE,45000,Not Verified,home_improvement,4.32,0,1,8,0,4574,0.221,24,8000,891.25,251.71,0,19.06318681
12000,60 months,15.7,10+ years,MORTGAGE,50376,Not Verified,debt_consolidation,11.1,0,0,5,0,20613,0.982,17,12000,5394.37,311.31,0,22.24175824
10000,36 months,12.73,10+ years,MORTGAGE,120000,Verified,debt_consolidation,17.4,1,0,8,0,29476,0.576,20,10000,690.85,12.29,0,26.08791209
4000,36 months,10.08,6 years,RENT,32400,Not Verified,home_improvement,16.26,0,1,6,0,2352,0.273,10,4000,372.21,2825.89,0,4.266483516
6000,36 months,7.51,4 years,RENT,30000,Verified,debt_consolidation,6.12,0,0,12,0,1812,0.13,14,6000,631.41,2352.67,0,14.46153846
15000,60 months,18.79,2 years,MORTGAGE,98500,Verified,debt_consolidation,23.81,0,1,13,0,17083,0.842,28,15000,7860.91,326.03,0,10.86813187
11200,60 months,14.17,< 1 year,OWN,25800,Verified,debt_consolidation,17.77,0,3,10,0,4655,0.435,19,11200,4388.83,1968.92,0,12.87637363
12000,36 months,11.11,10+ years,MORTGAGE,125000,Verified,home_improvement,12.49,4,2,11,0,8995,0.269,37,12000,2165.58,447.84,0,23.33241758
8750,36 months,12.72,7 years,MORTGAGE,86610,Verified,credit_card,20.12,0,1,22,0,25965,0.525,49,8749.99,1811.91,894.26,0,7.697802198
6000,36 months,5.79,10+ years,MORTGAGE,154000,Verified,major_purchase,1.68,0,1,9,0,277,0.008,45,6000,317.76,4144.88,0,31.02197802
8000,60 months,14.46,6 years,RENT,49000,Verified,debt_consolidation,17.95,0,2,10,0,6945,0.565,11,8000,3285.78,2.19,0,12.29120879
8000,36 months,11.99,10+ years,MORTGAGE,82000,Verified,debt_consolidation,24.41,0,3,19,0,14223,0.399,32,8000,1564.32,267.29,0,13.96428571
10000,36 months,5.42,10+ years,MORTGAGE,150000,Verified,major_purchase,12.25,0,0,11,0,116063,0.323,22,10000,857.54,314.42,0,13.21428571
25000,60 months,17.56,3 years,MORTGAGE,65004,Source Verified,debt_consolidation,10.15,0,1,7,0,19633,0.716,23,16225,2204.26,14024.95,0,11.53571429
5400,36 months,7.88,5 years,MORTGAGE,78000,Not Verified,debt_consolidation,11.86,0,0,13,0,23947,0.452,19,5400,657.93,1167.95,0,11.37087912
12000,36 months,5.79,10+ years,RENT,80000,Verified,debt_consolidation,4.18,0,0,8,0,15030,0.196,30,12000,840.58,6320.48,0,25.59065934
3000,36 months,11.86,3 years,RENT,35500,Not Verified,other,23.43,0,1,13,0,7305,0.777,21,3000,545.78,871.84,0,6.271978022
2250,36 months,5.42,n/a,RENT,52500,Not Verified,debt_consolidation,16.43,0,0,9,0,4425,0.36,25,2250,192.29,208.76,0,18.97802198
8000,36 months,10.59,4 years,MORTGAGE,50000,Not Verified,other,3.89,0,3,3,0,4693,0.313,12,8000,1076.17,1859.04,0,14.62912088
1000,36 months,9.99,3 years,MORTGAGE,35138.4,Source Verified,home_improvement,15.03,0,1,7,0,24931,0.837,26,1000,62.51,585.83,0,8.60989011
8675,60 months,16.32,< 1 year,MORTGAGE,40000,Verified,credit_card,12.96,0,1,3,0,9241,0.963,28,8675,2973.93,5285.51,0,18.56593407
6000,36 months,7.88,4 years,RENT,90000,Not Verified,debt_consolidation,15.33,0,5,13,0,8453,0.215,32,6000,756.93,195.29,0,26.67307692
8000,36 months,11.36,1 year,RENT,58000,Not Verified,debt_consolidation,13.1,0,0,3,0,2856,0.539,10,8000,1427.32,1804.88,0,10.87087912
1500,36 months,6.03,10+ years,RENT,50400,Source Verified,other,12.33,0,0,15,0,1690,0.056,30,1500,126.57,577.41,0,14.21703297
22000,36 months,21.64,2 years,RENT,125004,Verified,debt_consolidation,14.13,0,5,9,0,20098,0.985,29,22000,6463.39,11746.78,0,15.71978022
1875,36 months,13.49,1 year,RENT,14400,Source Verified,credit_card,18.83,1,2,8,0,5342,0.486,23,1875,411.77,257.82,0,11.95604396
15000,36 months,13.11,8 years,MORTGAGE,233000,Not Verified,home_improvement,3.65,1,0,4,0,191315,0.029,13,15000,3223.37,539.04,0,5.263736264
1000,36 months,13.49,< 1 year,RENT,18000,Verified,medical,17.6,0,1,6,1,1411,0.186,20,502.9,171.9,33.94,1,11.45604396
2000,60 months,10.99,3 years,RENT,16000,Not Verified,other,23.18,0,0,6,0,2948,0.536,8,2000,489.08,1015.42,0,6.601648352
10000,36 months,8.94,10+ years,MORTGAGE,88000,Not Verified,credit_card,15.35,0,1,9,0,19490,0.565,29,10000,1438.57,349.39,0,19.31868132
25000,36 months,11.83,< 1 year,OWN,250000,Verified,debt_consolidation,15.7,0,0,19,0,290341,0.38,42,25000,4820.54,895.78,0,19.31868132
7200,60 months,17.27,5 years,RENT,103000,Source Verified,debt_consolidation,10.53,0,1,11,0,8547,0.638,21,6160.75,3535.05,179.99,0,9.197802198
4500,36 months,6.62,4 years,RENT,70000,Not Verified,credit_card,24.36,0,0,12,0,18914,0.277,24,4500,473.98,149.35,0,14.0467033
